NationalIDNumber,LoginID,JobTitle,MaritalStatus,Gender,rowguid
295847284,adventure-works\ken0,Chief Executive Officer,S,M,F01251E5-96A3-448D-981E-0F99D789110D
245797967,adventure-works\terri0,Vice President of Engineering,S,F,45E8F437-670D-4409-93CB-F9424A40D6EE
509647174,adventure-works\roberto0,Engineering Manager,M,M,9BBBFB2C-EFBB-4217-9AB7-F97689328841
112457891,adventure-works\rob0,Senior Tool Designer,S,M,59747955-87B8-443F-8ED4-F8AD3AFDF3A9
695256908,adventure-works\gail0,Design Engineer,M,F,EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08
998320692,adventure-works\jossef0,Design Engineer,M,M,E39056F1-9CD5-478D-8945-14ACA7FBDCDD
134969118,adventure-works\dylan0,Research and Development Manager,M,M,4F46DECA-EF01-41FD-9829-0ADAB368E431
811994146,adventure-works\diane1,Research and Development Engineer,S,F,31112635-663B-4018-B4A2-A685C0BF48A4
658797903,adventure-works\gigi0,Research and Development Engineer,M,F,50B6CDC6-7570-47EF-9570-48A64B5F2ECF
879342154,adventure-works\michael6,Research and Development Manager,M,M,EAA43680-5571-40CB-AB1A-3BF68F04459E
974026903,adventure-works\ovidiu0,Senior Tool Designer,S,M,F68C7C19-FAC1-438C-9BB7-AC33FCC341C3
480168528,adventure-works\thierry0,Tool Designer,M,M,1D955171-E773-4FAD-8382-40FD898D5D4D
486228782,adventure-works\janice0,Tool Designer,M,F,954B91B6-5AA7-48C2-8685-6E11C6E5C49A
42487730,adventure-works\michael8,Senior Design Engineer,S,M,46286CA4-46DD-4DDB-9128-85B67E98D1A9
56920285,adventure-works\sharon0,Design Engineer,M,F,54F2FDC0-87C4-4065-A7A8-9AC8EA624235
24756624,adventure-works\david0,Marketing Manager,S,M,E87029AA-2CBA-4C03-B948-D83AF0313E28
253022876,adventure-works\kevin0,Marketing Assistant,S,M,1B480240-95C0-410F-A717-EB29943C8886
222969461,adventure-works\john5,Marketing Specialist,S,M,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4
52541318,adventure-works\mary2,Marketing Assistant,S,F,1F6DA901-C7F7-48A8-8EEF-D81868D72B52
323403273,adventure-works\wanida0,Marketing Assistant,M,F,43CCA446-DA1C-454C-8530-873AD2923E1B
243322160,adventure-works\terry0,Marketing Specialist,M,M,AD0D7626-4506-45C4-898F-9D7A0E13AABD
95958330,adventure-works\sariya0,Marketing Specialist,S,M,AF21F1B7-0691-48AD-B325-B8F2D7B2268A
767955365,adventure-works\mary0,Marketing Specialist,M,F,90899830-127E-4876-85CA-7F6E03025281
