transid,accountid,date,type,operation,amount,balance,ksymbol,bank,account
1,1,1995-03-24,PRIJEM,VKLAD,1000,1000,NULL,NULL,NULL
5,1,1995-04-13,PRIJEM,"PREVOD Z UCTU",3679,4679,NULL,AB,41403269
6,1,1995-05-13,PRIJEM,"PREVOD Z UCTU",3679,20977,NULL,AB,41403269
7,1,1995-06-13,PRIJEM,"PREVOD Z UCTU",3679,26835,NULL,AB,41403269
8,1,1995-07-13,PRIJEM,"PREVOD Z UCTU",3679,30415,NULL,AB,41403269
9,1,1995-08-13,PRIJEM,"PREVOD Z UCTU",3679,28903,NULL,AB,41403269
10,1,1995-09-13,PRIJEM,"PREVOD Z UCTU",3679,22714,NULL,AB,41403269
11,1,1995-10-13,PRIJEM,"PREVOD Z UCTU",3679,23318,NULL,AB,41403269
12,1,1995-11-13,PRIJEM,"PREVOD Z UCTU",3679,21721,NULL,AB,41403269
13,1,1995-12-13,PRIJEM,"PREVOD Z UCTU",3679,20249,NULL,AB,41403269
14,1,1996-01-13,PRIJEM,"PREVOD Z UCTU",3679,17870,NULL,AB,41403269
15,1,1996-02-13,PRIJEM,"PREVOD Z UCTU",3679,14807,NULL,AB,41403269
16,1,1996-03-13,PRIJEM,"PREVOD Z UCTU",3679,16179,NULL,AB,41403269
17,1,1996-04-13,PRIJEM,"PREVOD Z UCTU",3679,17657,NULL,AB,41403269
18,1,1996-05-13,PRIJEM,"PREVOD Z UCTU",3679,16937,NULL,AB,41403269
19,1,1996-06-13,PRIJEM,"PREVOD Z UCTU",3679,15652,NULL,AB,41403269
20,1,1996-07-13,PRIJEM,"PREVOD Z UCTU",3679,17970,NULL,AB,41403269
21,1,1996-08-13,PRIJEM,"PREVOD Z UCTU",3679,18126,NULL,AB,41403269
22,1,1996-09-13,PRIJEM,"PREVOD Z UCTU",3679,20404,NULL,AB,41403269
23,1,1996-10-13,PRIJEM,"PREVOD Z UCTU",3679,19995,NULL,AB,41403269
24,1,1996-11-13,PRIJEM,"PREVOD Z UCTU",3679,18011,NULL,AB,41403269
25,1,1996-12-13,PRIJEM,"PREVOD Z UCTU",3679,16495,NULL,AB,41403269
26,1,1997-01-13,PRIJEM,"PREVOD Z UCTU",3679,15087,NULL,AB,41403269
27,1,1997-02-13,PRIJEM,"PREVOD Z UCTU",3679,15745,NULL,AB,41403269
28,1,1997-03-13,PRIJEM,"PREVOD Z UCTU",3679,15815,NULL,AB,41403269
29,1,1997-04-13,PRIJEM,"PREVOD Z UCTU",3679,12480,NULL,AB,41403269
30,1,1997-05-13,PRIJEM,"PREVOD Z UCTU",3679,13742,NULL,AB,41403269
31,1,1997-06-13,PRIJEM,"PREVOD Z UCTU",3679,13838,NULL,AB,41403269
32,1,1997-07-13,PRIJEM,"PREVOD Z UCTU",3679,16606,NULL,AB,41403269
33,1,1997-08-13,PRIJEM,"PREVOD Z UCTU",3679,16682,NULL,AB,41403269
34,1,1997-09-13,PRIJEM,"PREVOD Z UCTU",3679,16702,NULL,AB,41403269
35,1,1997-10-13,PRIJEM,"PREVOD Z UCTU",3679,17979,NULL,AB,41403269
36,1,1997-11-13,PRIJEM,"PREVOD Z UCTU",3679,18164,NULL,AB,41403269
37,1,1997-12-13,PRIJEM,"PREVOD Z UCTU",3679,14749,NULL,AB,41403269
38,1,1998-01-13,PRIJEM,"PREVOD Z UCTU",3679,15353,NULL,AB,41403269
39,1,1998-02-13,PRIJEM,"PREVOD Z UCTU",3679,14901,NULL,AB,41403269
40,1,1998-03-13,PRIJEM,"PREVOD Z UCTU",3679,16170,NULL,AB,41403269
41,1,1998-04-13,PRIJEM,"PREVOD Z UCTU",3679,15585,NULL,AB,41403269
42,1,1998-05-13,PRIJEM,"PREVOD Z UCTU",3679,16677,NULL,AB,41403269
43,1,1998-06-13,PRIJEM,"PREVOD Z UCTU",3679,17957,NULL,AB,41403269
44,1,1998-07-13,PRIJEM,"PREVOD Z UCTU",3679,18790,NULL,AB,41403269
45,1,1998-08-13,PRIJEM,"PREVOD Z UCTU",3679,19808,NULL,AB,41403269
46,1,1998-09-13,PRIJEM,"PREVOD Z UCTU",3679,14598,NULL,AB,41403269
47,1,1998-10-13,PRIJEM,"PREVOD Z UCTU",3679,15869,NULL,AB,41403269
48,1,1998-11-13,PRIJEM,"PREVOD Z UCTU",3679,17144,NULL,AB,41403269
49,1,1998-12-13,PRIJEM,"PREVOD Z UCTU",3679,13414,NULL,AB,41403269
58,1,1995-09-05,VYDAJ,"PREVOD NA UCET",2452,19035,SIPO,YZ,87144583
59,1,1995-10-05,VYDAJ,"PREVOD NA UCET",2452,19639,SIPO,YZ,87144583
60,1,1995-11-05,VYDAJ,"PREVOD NA UCET",2452,18042,SIPO,YZ,87144583
61,1,1995-12-05,VYDAJ,"PREVOD NA UCET",2452,16570,SIPO,YZ,87144583
62,1,1996-01-05,VYDAJ,"PREVOD NA UCET",2452,15511,SIPO,YZ,87144583
63,1,1996-02-05,VYDAJ,"PREVOD NA UCET",2452,11128,SIPO,YZ,87144583
64,1,1996-03-05,VYDAJ,"PREVOD NA UCET",2452,12500,SIPO,YZ,87144583
65,1,1996-04-05,VYDAJ,"PREVOD NA UCET",2452,13978,SIPO,YZ,87144583
66,1,1996-05-05,VYDAJ,"PREVOD NA UCET",2452,13258,SIPO,YZ,87144583
67,1,1996-06-05,VYDAJ,"PREVOD NA UCET",2452,11973,SIPO,YZ,87144583
68,1,1996-07-05,VYDAJ,"PREVOD NA UCET",2452,14291,SIPO,YZ,87144583
69,1,1996-08-05,VYDAJ,"PREVOD NA UCET",2452,14447,SIPO,YZ,87144583
70,1,1996-09-05,VYDAJ,"PREVOD NA UCET",2452,16725,SIPO,YZ,87144583
71,1,1996-10-05,VYDAJ,"PREVOD NA UCET",2452,16316,SIPO,YZ,87144583
72,1,1996-11-05,VYDAJ,"PREVOD NA UCET",2452,14332,SIPO,YZ,87144583
73,1,1996-12-05,VYDAJ,"PREVOD NA UCET",2452,12816,SIPO,YZ,87144583
74,1,1997-01-05,VYDAJ,"PREVOD NA UCET",2452,10208,SIPO,YZ,87144583
75,1,1997-02-05,VYDAJ,"PREVOD NA UCET",2452,10366,SIPO,YZ,87144583
76,1,1997-03-05,VYDAJ,"PREVOD NA UCET",2452,12136,SIPO,YZ,87144583
77,1,1997-04-05,VYDAJ,"PREVOD NA UCET",2452,8801,SIPO,YZ,87144583
78,1,1997-05-05,VYDAJ,"PREVOD NA UCET",2452,10063,SIPO,YZ,87144583
79,1,1997-06-05,VYDAJ,"PREVOD NA UCET",2452,10159,SIPO,YZ,87144583
80,1,1997-07-05,VYDAJ,"PREVOD NA UCET",2452,11427,SIPO,YZ,87144583
81,1,1997-08-05,VYDAJ,"PREVOD NA UCET",2452,14203,SIPO,YZ,87144583
82,1,1997-09-05,VYDAJ,"PREVOD NA UCET",2452,13413,SIPO,YZ,87144583
83,1,1997-10-05,VYDAJ,"PREVOD NA UCET",2452,14300,SIPO,YZ,87144583
84,1,1997-11-05,VYDAJ,"PREVOD NA UCET",2452,15585,SIPO,YZ,87144583
85,1,1997-12-05,VYDAJ,"PREVOD NA UCET",2452,15770,SIPO,YZ,87144583
86,1,1998-01-05,VYDAJ,"PREVOD NA UCET",2452,11774,SIPO,YZ,87144583
87,1,1998-02-05,VYDAJ,"PREVOD NA UCET",2452,10722,SIPO,YZ,87144583
88,1,1998-03-05,VYDAJ,"PREVOD NA UCET",2452,12491,SIPO,YZ,87144583
