Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
1,Jonathan Jones,SCS4,"HM Procurator General, Treasury Solicitor and Head of the Government Legal Service","HM Procurator General, Treasury Solicitor and Head of the Government Legal Service",Attorney General's Office,Government Legal Department,Permanent Secretary of Government Legal Department,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,XX,276190,1,160000,164999,Law,Includes combined salary of reporting posts for Post ID 124,1
2,Stephen Braviner-Roman,SCS3,Director General - Legal,"Board Member responsible for Legal Teams - BV, HMT, MOJ, Litigation, COEL, COL, DCMS, HSE & DFID",Attorney General's Office,Government Legal Department,Directorate A,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,1,1018665,1,115000,119999,Law,"Includes combined salary of reporting posts for Post ID 4, 10, 35 & 38",1
3,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Bona Vacantia,Attorney General's Office,Government Legal Department,Bona Vacantia,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,1502733,1,N/A,N/A,Law,,1
4,Stephen Parker,SCS2,Director - Legal,To manage the provision of legal services for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,N/D,1,115000,119999,Law,Team is too small to detail.  Salary Cost of Reports reported under Post ID 2,1
5,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Insurance Markets & Mutuals Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,492013,1,N/A,N/A,Law,,1
6,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Banking & Financial Crime Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,514512,1,N/A,N/A,Law,,1
7,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Financial Stability Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,279099,1,N/A,N/A,Law,,1
8,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Public Finances & General Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,625975,1,N/A,N/A,Law,,1
9,Rosemary Davies,SCS2,Director - Legal,To manage the provision of legal services for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,396578,1,95000,99999,Law,Includes combined salary of reporting posts for Post ID 9,1
10,Jane Hill,SCS2,Director - Legal,To manage the provision of legal services for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,N/D,0.83,85000,89999,Law,Team is too small to detail.  Salary Cost of Reports reported under Post ID 2,1
