Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
26464,N/D,SCS1,Hd of Commercial DIO for Operations,Head of Commercial DIO has overall responsibility to CE DIO for the efficient and effective conduct of the commercial function which enables the delivery of DIO outputs. The post holder is accountable for all DIO contractual arrangements and must work closely with the Executive Committee of the Infrastructure Board (ECIB) and Operating Committee of Infrastructure Board (OCIB) members to develop and deliver DIO outputs. Responsible to the MoD Commercial Process Owner for ensuring that DIO commercial processes are undertaken wholly in accordance with MoD policy. Responsible for supporting Director Corporate Services and Director Commercial Services in achieving MoD commercial objectives. The Head of Commercial is a member of the Executive Committee of the Infrastructure Board (ECIB).,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,26677,0,1,0,0,Procurement,,
26521,N/D,SCS1,Head of Secretariat Defence Infrastructure Organisation,"Handles all Ministerial Business for the DIO, including drafting answers to Parliamentary Questions and Ministerial Correspondence and responding to Freedom of Information requests. Manages all the DIO senior committees, and provides a comprehensive performance and risk management analysis, including Health and Safety, to those committees and the Department. Required to deliver leadership to the DIO on a range of topics including Security and Business Continuity. Handles all media and communications activity for the DIO.",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,26677,0,1,0,0,Operational Delivery,,
26652,N/D,SCS1,Chief Finance Officer Defence Infrastructure Organisation,"The CFO has a key role in the Capability and Planning activity within the TLB, responsible for all aspects of the DIOs Financial Planning and Reporting. Responsible for ensuring that all TLB Plans are affordable and value for money and ensuring that business is conducted within the terms laid down within HMTs Managing Public Money, including compliance with centrally mandated processes and controls. he CFO is responsible for ensuring that delegations to the TLB are discharged correctly, and oversees scrutiny over the exercising of delegated authority to approve certain investment decisions. Te CFO is responsible for ensuring that there is a system of effective corporate governance and internal controls in place (Control Framework), the integrity of financial systems and the achievement of efficiency and providing assurance over those controls. he CFO is a full member of the of the Defence Infrastructure Board (DIB), Executive Committee of the Infrastructure Board (ECIB), chairs the DIO Investment Appraisals Committee (IAC) and is the DIOs appointed Senior Finance Office.",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,26677,0,1,0,0,Property and asset management,,
26667,N/D,SCS1,Head Strategic Asset Management and Programming Team,"The Head of Strategic Asset Management (SAM) is responsible for the identification, pan-MOD, of infrastructure rationalisation opportunities, the improvement of utilisation, increase of commercialisation of infrastructure assets and driving down the overall cost of ownership of the estate. Accountable for the DIO TLB Strategy and Command Plan, infrastructure related policy and to support CE DIO as MODs Sustainable Development Process Owner.",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,1683968,0,1,0,0,Property and asset management,,
26677,Mr Andrew Manley,SCS3,Chief Executive Defence Infrastructure Organisation,"Strategic management of the military estate as a whole, optimising investment and supporting military capability to best effect through the management and delivery of property, infrastructure and related services to all of Defence. Delivery of an estate which is of the right quality and size to efficiently and effectively meet military requirements. Delivery of significant running cost reductions, improved estate utilisation, further estate rationalisation and exploration of commercialisation opportunities in line with the Strategic Defence and Security Review (SDSR), Public Accounts Committee (PAC) and Defence Reform recommendations. Provision of infrastructure support to enable success in Afghanistan and other operational standing commitments. Delivery of coherent and affordable infrastructure solutions to meet Defence needs for the Directed Force, Interim Force 2015, Future Force 2020 and Future Reserves 2020. Provision of and effective, efficient, safe, legal, and sustainable Infrastructure to Defence. The job is tasked with ongoing delivery of the Estate and services. In addition the role oversees a major transformation of estate management including implementation of DIOs operating model together with Projects NGEC (Hard FM) and Hestia (Soft FM) to transform delivery. Procurement of a possible Strategic Business Partner is included in the challenges. The role additionally oversees delivery of the MODs Footprint Strategy and is SRO for the Rebasing programme.",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,XX,134926367,1,200000,204999,Property and asset management,,
37389,N/D,SCS1,Director Recruit Training (Support),To provide direction and support to all divisional activities in accordance with DGART's intent and in conjunction with COS.,Ministry of Defence,Ministry of Defence,Army,01264 886108,LF-Sec-Group@mod.uk,1272850,N/D,1,N/A,N/A,Operational Delivery,,
38070,N/D,SCS1,Director Equipment,To achieve better management of the defence land equipment fleets to enable MoD to carry out the same defence role more economically.,Ministry of Defence,Ministry of Defence,Army,01264 886108,LF-Sec-Group@mod.uk,1603839,N/D,1,N/A,N/A,Operational Delivery,,
39784,Vacant,SCS2,Command Secretary (Secretariat),To ensure the proper and efficient handling of the Department of State aspects of Army issues on behalf of the Commander in Chief Land Forces and the Adjutant General,Ministry of Defence,Ministry of Defence,Army,N/A,LF-Sec-Group@mod.uk,1167535,N/D,0.01,95000,99999,Operational Delivery,,
43851,N/D,SCS1,Director Children and Young People,"Responsible for the professional leadership and direction across MOD for Children and Young Peoples Services; governance and integration of those services provided by MOD both in UK and overseas, and championing the needs of children and young people who belong to the Services community within the UK context at local authority and national levels.",Ministry of Defence,Ministry of Defence,Army,01264 886108,LF-Sec-Group@mod.uk,1591920,N/D,1,N/A,N/A,Operational Delivery,,
125818,N/D,SCS1,Director Legal Services (Germany),"DLS(G) is a limb of the MODs Central Legal Services and provides legal advice to British Forces in Germany, working directly to the GOC UKSC. The Directors team is embedded in JHQ Rheindahlen. The Directors task is to provide independent legal advice to UK forces on all aspects of living in and operating in and from Germany and the European Support Group; to advise on international law; to negotiate international and bilateral agreements; to provide advice to the British delegation at Sending States meetings, and to advise on any questions of German and UK law",Ministry of Defence,Ministry of Defence,Army,01264 886108,LF-Sec-Group@mod.uk,1167888,N/D,1,N/A,N/A,Law,,
126369,David Stephens,SCS2,Director Resources / Command Secretary,"Land ForcesCommand SecretaryResources role is to support CGS, the Commander-in-Chief and subordinate budget holders, in managing the Land Forces Top Level Budget and in resource planning. As Senior Finance Officer, LFComd SecRes is responsible for advice on: the integrity of Land Forces financial systems; the regularity and propriety of expenditure; the achievement of efficiency and value for money; effective corporate governance; and for functional leadership of finance staff across Land Forces TLB.",Ministry of Defence,Ministry of Defence,Army,01264 886108,LF-Sec-Group@mod.uk,1167535,N/D,1,95000,99999,Finance,,
