Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
1,Jonathan Jones,SCS4,"HM Procurator General, Treasury Solicitor and Head of the Government Legal Service","HM Procurator General, Treasury Solicitor and Head of the Government Legal Service",Attorney General's Office,Government Legal Department,Permanent Secretary of Government Legal Department,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,XX,784361,1,160000,164999,Law,Includes the combined salaries of reporting posts 124 & 130 (reporting teams less than 5),1
2,Stephen Braviner-Roman,SCS3,Director General - Legal,"Board Member responsible for Legal Teams - BEIS, BV, COL, DExEU, DIT, DFID,HMT & Litigation",Attorney General's Office,Government Legal Department,Directorate A,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,1,493220,1,120000,124999,Law,Includes the combined salaries of reporting posts 35 & 18 (reporting teams less than 5),1
151,Patrick Kilgarriff,SCS2,Director - Legal,To manage the provision of legal services for BEIS - Business & Industrial Strategy,Attorney General's Office,Government Legal Department,"Department for Business, Energy & Industrial Strategy - Business & Industrial Strategy",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,800269,1,95000,99999,Law,,1
152,Elizabeth Hambley,SCS2,Director - Legal,To manage the provision of legal services for BEIS - Energy and Climate Change,Attorney General's Office,Government Legal Department,"Department for Business, Energy & Industrial Strategy - Energy and Climate Change",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,578027,1,90000,94999,Law,,1
153,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for BEIS,Attorney General's Office,Government Legal Department,"Department for Business, Energy & Industrial Strategy - Consumers, Competition, & Postal Services",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,151,571547,0.89,N/A,N/A,Law,,1
154,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for BEIS,Attorney General's Office,Government Legal Department,"Department for Business, Energy & Industrial Strategy - Corporate Law",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,151,348878,1,N/A,N/A,Law,,1
155,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for BEIS,Attorney General's Office,Government Legal Department,"Department for Business, Energy & Industrial Strategy - Industry Investments & State Aid",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,151,380558,1,N/A,N/A,Law,,1
156,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for BEIS,Attorney General's Office,Government Legal Department,"Department for Business, Energy & Industrial Strategy - Labour Market",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,151,424741,1,N/A,N/A,Law,,1
157,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for BEIS,Attorney General's Office,Government Legal Department,"Department for Business, Energy & Industrial Strategy - Rescue Restructure & Insolvency",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,151,375049,1,N/A,N/A,Law,,1
158,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for BEIS,Attorney General's Office,Government Legal Department,"Department for Business, Energy & Industrial Strategy - Science & Intellectual Property",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,151,482271,1,N/A,N/A,Law,,1
