Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
0,N/D,SCS1,Not in Post,Not in Post,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,N/A,CTLB Fin-Planning Grp Mailbox (MULTIUSER)@mod.uk,106029,0,1,0,0,Finance,,
0,N/D,SCS1,Not in Post,Not in Post,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,'N/A',CTLB Fin-Planning Grp Mailbox (MULTIUSER)@mod.uk,106029,0,1,0,0,Policy,,
1,David Ball,SCS2,DES Director Human Resources,"DE&S Director Human Resources works in partnership with DE&S Directors to identify ways in which people can contribute more effectively to delivering the outputs and key targets of the organisation, and to shape the way in which people are led, managed and developed on a daily basis.",Ministry of Defence,Ministry of Defence,Defence Equipment and Support,030 679 30206,DESSec-ParliamentaryBusiness@mod.uk,9000,0,1,95000,99999,Human Resources,,
43,N/D,SCS1,DES Hd Financial Operations,"Hd Financial Operations manages the DG Resources Business Change team, the DE&S Finance Operations Team and the Approvals Support Team.",Ministry of Defence,Ministry of Defence,Defence Equipment and Support,030 679 30206,DESSec-ParliamentaryBusiness@mod.uk,3323,0,1,N/D,N/D,Finance,,
47,N/D,OF-6,DES Fast Air Support Team Head,"The FAST team delivers equipment, training and logistics services for the Typhoon and Tornado aircraft as well as the Battle of Britain Memorial Flight and Aircrew Escape and Survival equipments.",Ministry of Defence,Ministry of Defence,Defence Equipment and Support,030 679 30206,DESSec-ParliamentaryBusiness@mod.uk,51335,0,1,N/A,N/A,Military,,
52,N/D,SCS1,DES ISTAR Comrcl Head,"DE&S Intelligence, Surveillance, Target Acquisition and Reconnaissance (ISTAR) Comrcl Hd is responsible for providing commercial advice and assurance to D ISTAR and commercial functional line management to all commercial staff within the Operating Centre.",Ministry of Defence,Ministry of Defence,Defence Equipment and Support,030 679 30206,DESSec-ParliamentaryBusiness@mod.uk,198424,0,1,N/D,N/D,Procurement,,
57,N/D,SCS1,Head of Intellectual Property Rights,"Defence Intellectual Property is responsible for MOD intellectual property Policy. It manages the Departments Crown Copyright delegation from the Office of Public Sector Information, files and manages the MoDs portfolio of Patents, trademarks, and Design",Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,0207 807 0425,CTLB Fin-Planning Grp Mailbox (MULTIUSER)@mod.uk,139073,0,1,0,0,Law,,
66,Tony Graham,SCS2,DES Director Ships,"Director Ships is responsible for the procurement, through life support and eventual disposal of ships and equipment for the Royal Navy and other services involved in maritime operations. This ranges from major projects like the future aircraft carrier through to outboard motors used on rigid raiding craft and all of the spares with the engineering and logistical expertise that goes with this.",Ministry of Defence,Ministry of Defence,Defence Equipment and Support,030 679 30206,DESSec-ParliamentaryBusiness@mod.uk,170311,0,1,85000,89999,Programme and Project Management (PPM),,
68,N/D,SCS1,DES Air Support Comrcl Head,DES Air Support Comrcl Hd is responsible for providing commercial advice and assurance to Director Air Support and commercial functional line management to all commercial staff within the Operating Centre.,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,030 679 30206,DESSec-ParliamentaryBusiness@mod.uk,198424,0,1,N/D,N/D,Procurement,,
79,N/D,OF-6,DES Submarines Nuclear Propulsion Head,"Responsible for delivering design support, logistic support and regulating approval for in-service submarine nuclear propulsion plants. Also responsible for developing the technology for the Next Generation Nuclear Propulsion Plant for use in the Successor submarine.",Ministry of Defence,Ministry of Defence,Defence Equipment and Support,030 679 30206,DESSec-ParliamentaryBusiness@mod.uk,6158,0,1,N/A,N/A,Military,,
114,N/D,OF-6,Defence Nuclear Safety Regulator,Regulation of safety and environmental protection in compliance with Secretary of Statess Policy Statement for the nuclear domain,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,0207 807 0425,CTLB Fin-Planning Grp Mailbox (MULTIUSER)@mod.uk,195354,0,1,0,0,Science and Engineering,,
178,N/D,SCS1,DES IRG-Hd,"[u'International Relations Group is the MOD focal point for initiatives and policies in multi-national organisations such as NATO, the European Commission, the European Defence Agency (EDA) and the Organisation for Joint Armaments Co-operation (OCCAR), is responsible for effective government-to-government relationships with key national partners such as the USA and France. IRG also leads on the negotiation of procurement-related Memoranda of Understanding (MOU) with partner nations.', u'International Relations Group is responsible for providing policy advice and support on international defence acquisition matters.']",Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,030 679 30206,DESSec-ParliamentaryBusiness@mod.uk,163901,0,1,0,0,Procurement,,
