Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
1,Jil Matheson,SCS4,Permanent Secretary,"National Statistician, Head of GSS",UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,01633 455306,national.statistician@statistics.gsi.gov.uk,Board,594706,1,140000,144999,Statisticians,"The National Statistician is the Permanent Secretary and Chief Executive of the UK Statistics Authority and Head Of GSS. As Permanent Secretary, The National Statistician reports to the Cabinet Secretary.",1
2,Glen Watson,SCS3,Director General,Head Of ONS,UK Statistics Authority,UK Statistics Authority,Office For National Statistics,0845 601 3034,info@ons.gsi.gov.uk,1,501124,1,105000,109999,Statisticians,,1
4,Caron Walker,SCS2,Director,"Production of statistical outputs from its surveys and administrative sources, and reporting and analysing major social and economic issues",UK Statistics Authority,UK Statistics Authority,Collection and Production,0845 601 3034,info@ons.gsi.gov.uk,2,0,1,90000,94999,Statisticians,,1
5,Ian Cope,SCS2,Director,Population and Demography,UK Statistics Authority,UK Statistics Authority,Population and Demography,0845 601 3034,info@ons.gsi.gov.uk,2,209659,1,90000,94999,Statisticians,Move to Population & Demorgraphy from Analysis & Dissemination,1
6,Guy Goodwin,SCS2,Director,Analysis and Dissemination,UK Statistics Authority,UK Statistics Authority,Analysis and Dissemination,0845 601 3034,info@ons.gsi.gov.uk,2,0,1,85000,89999,Statisticians,Move to Analysis and Dissemination from Population and Demography / Salary costs not disclosed -Less than 5 staff amount with post 2,1
12,Penny Hallett,SCS1,Deputy Director,Stakeholder Management and Communication,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,0845 601 3034,info@ons.gsi.gov.uk,6,2012801,1,0,0,Communications,,1
13,Tim Andrews,SCS1,Deputy Director,National Statisticians Office (Operations),UK Statistics Authority,UK Statistics Authority,National Statisticians Office (Operations),01633 455022,nsoffice.enquiries@statistics.gsi.gov.uk,1,821850,1,0,0,Statisticians,,1
14,Pam Davies,SCS1,Deputy Director,National Statisticians Office (Strategy),UK Statistics Authority,UK Statistics Authority,National Statisticians Office (Strategy),01633 455022,nsoffice.enquiries@statistics.gsi.gov.uk,1,0,1,0,0,Statisticians,Not disclosed - Less than 5 staff amount with post 1 (Jil Matheson),1
15,Peter Patterson,SCS1,Deputy Director,Office of the Chief Economic Adviser,UK Statistics Authority,UK Statistics Authority,Office of the Chief Economic Adviser,0845 601 3034,info@ons.gsi.gov.uk,44,642084,1,0,0,Economics,,1
16,Graeme Walker,SCS1,Deputy Director,National Accounts Coordination Division,UK Statistics Authority,UK Statistics Authority,National Accounts Coordination Division,0845 601 3034,info@ons.gsi.gov.uk,4,1810664,1,0,0,Statisticians,,1
18,Glen Everett,SCS1,Deputy Director,Measuring National Well-being,UK Statistics Authority,UK Statistics Authority,Measuring National Well-being,0845 601 3034,info@ons.gsi.gov.uk,6,1123943,1,0,0,Statisticians,,1
19,Jacqui Jones,SCS1,Deputy Director,Business Indicators and Balance of Payments,UK Statistics Authority,UK Statistics Authority,Business Indicators and Balance of Payments,0845 601 3034,info@ons.gsi.gov.uk,4,3296080,1,0,0,Statisticians,,1
20,Michael Prestwood,SCS1,Deputy Director,Labour Market,UK Statistics Authority,UK Statistics Authority,Labour Market,0845 601 3034,info@ons.gsi.gov.uk,4,1721621,1,0,0,Statisticians,,1
21,Ed Dunn,SCS1,Deputy Director,ONS Social Survey,UK Statistics Authority,UK Statistics Authority,ONS Social Survey,0845 601 3034,info@ons.gsi.gov.uk,57,16709470,1,0,0,Social Research,,1
22,Derek Bird,SCS1,Deputy Director,Prices,UK Statistics Authority,UK Statistics Authority,Prices,0845 601 3034,info@ons.gsi.gov.uk,4,1834650,1,0,0,Statisticians,,1
23,Debra Prestwood,SCS1,Deputy Director,Business Data,UK Statistics Authority,UK Statistics Authority,Business Data,0845 601 3034,info@ons.gsi.gov.uk,57,7402412,1,0,0,Operational Delivery,Moved from Collection and Production Operations taken over Peter Fullerton,1
25,Jason Bradbury,SCS1,Deputy Director,Business Outputs and Developments,UK Statistics Authority,UK Statistics Authority,Business Outputs and Developments,0845 601 3034,info@ons.gsi.gov.uk,57,2482578,1,0,0,Statisticians,,1
26,Ben Humberstone,SCS1,Deputy Director,Population Statistics Division,UK Statistics Authority,UK Statistics Authority,Population Statistics Division,0845 601 3034,info@ons.gsi.gov.uk,5,2231018,1,0,0,Statisticians,,1
27,Eliminated,SCS1,Deputy Director,Regional and Local,UK Statistics Authority,UK Statistics Authority,Regional and Local,N/A,info@ons.gsi.gov.uk,5,0,1,0,0,Social Research,"Post 27 DD Regional & Local (Lucy Vickers) - post abolished, merged with post 41 DD Crime Statistics & Analysis (Tricia Dodd) into DD Crime Regional & Local (Tricia Dodd).",1
28,Judith Jones,SCS1,Deputy Director,Health and Life Events Division,UK Statistics Authority,UK Statistics Authority,Life Events and Population Sources Division,0845 601 3034,info@ons.gsi.gov.uk,5,3388898,0.86,0,0,Statisticians,,1
29,Peter Benton,SCS1,Deputy Director,Beyond 2011,UK Statistics Authority,UK Statistics Authority,Beyond 2011,0845 601 3034,info@ons.gsi.gov.uk,5,1710924,1,0,0,Policy,,1
30,Roma Chappell,SCS1,Deputy Director,2011 Census,UK Statistics Authority,UK Statistics Authority,2011 Census,0845 601 3034,info@ons.gsi.gov.uk,5,3316731,1,0,0,Statisticians,Post 31 Census Programme Management  incorporated into post 2011 Census,1
31,Eliminated,SCS1,Deputy Director,Census Programme,UK Statistics Authority,UK Statistics Authority,Census Programme,N/A,info@ons.gsi.gov.uk,5,0,1,0,0,Statisticians,"Post 31 DD Census Programme Management (Glenn St John-Colgan) - post abolished, incorporated into post 30 DD 2011 Census (Roma Chappell).",1
32,Paul Layland,SCS1,Deputy Director,Finance,UK Statistics Authority,UK Statistics Authority,Finance,0845 601 3034,info@ons.gsi.gov.uk,2,1547483,1,0,0,Finance,,1
35,Terry Compton,SCS1,Deputy Director,Application Development Support,UK Statistics Authority,UK Statistics Authority,Applications Development and Support,0845 601 3034,info@ons.gsi.gov.uk,45,6730878,1,0,0,Information Technology,,1
36,Jennet Woolford,SCS1,Deputy Director,Population Methodology & Statistical Infrastructure,UK Statistics Authority,UK Statistics Authority,Population Methodology & Statistical Infrastructure,0845 601 3034,info@ons.gsi.gov.uk,45,3434320,1,0,0,Social Research,New to post,1
37,Martin Brand,SCS1,Deputy Director,Survey Methodology & Statistical Computing,UK Statistics Authority,UK Statistics Authority,Survey Methodology & Statistical Computing,0845 601 3034,info@ons.gsi.gov.uk,45,2093227,0.7,0,0,Statisticians,,1
41,Tricia Dodd,SCS1,Deputy Director,Crime Regional and Data Access,UK Statistics Authority,UK Statistics Authority,Crime Regional and Data Access,0845 601 3034,info@ons.gsi.gov.uk,6,1765046,1,0,0,Social Research,"Post 27 Regional & Local , merged with post 41 DD Crime Regional and Data Access",1
42,Claire Stretch,SCS1,Deputy Director,Web Data Access Project,UK Statistics Authority,UK Statistics Authority,Web Data Access Project,0845 601 3034,info@ons.gsi.gov.uk,5,628751,1,0,0,Operational Delivery,,1
