Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
1,Jonathan Jones,SCS4,"HM Procurator General, Treasury Solicitor and Head of the Government Legal Service","HM Procurator General, Treasury Solicitor and Head of the Government Legal Service",Attorney General's Office,Government Legal Department,Permanent Secretary of Government Legal Department,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,XX,392347,1,160000,164999,Law,Includes combined salary of reporting posts 124 (reporting team less than 5),1
2,Stephen Braviner-Roman,SCS3,Director General - Legal,"Board Member responsible for Legal Teams - BV, HMT, MOJ, Litigation, DExEU, COL, DCMS, HSE & DFID",Attorney General's Office,Government Legal Department,Directorate A,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,1,1185960,1,120000,124999,Law,"Includes combined salaries of reporting posts  4, 9, 18, 35 & 38 (reporting team less than 5)",1
3,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Bona Vacantia,Attorney General's Office,Government Legal Department,Bona Vacantia,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,1588683,1,N/A,N/A,Law,,1
4,Stephen Parker,SCS2,Director - Legal,To manage the provision of legal services for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,N/D,1,115000,119999,Law,Team is too small to detail.  Salary Cost of Reports reported under Post ID 2,1
5,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Insurance Markets & Mutuals Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,479737,1,N/A,N/A,Law,,1
6,Vacant,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Banking & Financial Crime Team,N/A,thetreasurysolicitor@governmentlegal.gov.uk,4,701697,1,N/A,N/A,Law,,1
7,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Financial Stability Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,302563,1,N/A,N/A,Law,,1
8,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Her Majesty's Treasury,Attorney General's Office,Government Legal Department,Her Majesty's Treasury - Public Finances & General Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,4,600430,1,N/A,N/A,Law,,1
9,Rosemary Davies,SCS2,Director - Legal,To manage the provision of legal services for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,N/D,1,95000,99999,Law,Team is too small to detail.  Salary Cost of Reports reported under Post ID 2,1
10,Naomi Mallick,SCS2,Director - Legal,To manage the provision of legal services for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,314790,1,90000,94999,Law,,1
11,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice - Civil & Family,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,9,440523,1,N/A,N/A,Law,,1
12,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOJ,Attorney General's Office,Government Legal Department,"Ministry of Justice - Court, Tribunals, Judiciary & Coroners",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,10,343360,0.81,N/A,N/A,Law,,1
13,Vacant,SCS1,Deputy Director - Legal,To provide legal services and support for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice - Human Rights,N/A,thetreasurysolicitor@governmentlegal.gov.uk,9,279460,1,N/A,N/A,Law,The post became vacant on 07/03/2016.  Will come under Post ID 17 (MOJ - Criminal Law) from 16/11/2016,1
14,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice - Offender Management,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,10,462889,0.8,N/A,N/A,Law,,1
15,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice - Legal Aid & Legal Services,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,10,446948,1,N/A,N/A,Law,,1
16,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice - Legal Aid Agency,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,10,349910,1,N/A,N/A,Law,,1
17,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOJ,Attorney General's Office,Government Legal Department,Ministry of Justice - Criminal Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,9,259466,1,N/A,N/A,Law,,1
18,Susanna McGibbon,SCS2,Director - Legal,To manage the provision of Legal Services for Litigation,Attorney General's Office,Government Legal Department,Litigation,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,N/D,1,105000,109999,Law,Team is too small to detail.  Salary Cost of Reports reported under Post ID 2,1
19,N/D,SCS1,Deputy Director - Operations,To provide administrative support for Litigation,Attorney General's Office,Government Legal Department,Litigation - Practice Management Unit,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,18,531463,1,N/A,N/A,Operational Delivery,,1
20,N/D,SCS1a,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,18,431572,1,N/A,N/A,Law,,1
21,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team A1 - MoJ Private Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1966196,0.8,N/A,N/A,Law,Includes 1 seconded In Legal Trainee not paid by GLD,1
22,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team A2 - MoJ Private Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1878811,1,N/A,N/A,Law,Includes 1 seconded In Legal Trainee not paid by GLD,1
23,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team A3 - MoD Private Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1787224,1,N/A,N/A,Law,,1
24,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team B4 - Justice & Security Public Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1513077,0.79,N/A,N/A,Law,Job Share,1
24,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team B4 - Justice & Security Public Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1513077,0.86,N/A,N/A,Law,Job Share and paid by the Foreign & Commonwealth Office,1
25,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,"Litigation A - Private Law & Inquiries Team A5 -  General Private Law, Companies, Costs and Inquiries Team",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1549670,1,N/A,N/A,Law,,1
26,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team N1- National Security and Counter Terrorism Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1393891,1,N/A,N/A,Law,,1
27,N/D,SCS1a,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,18,967918,1,N/A,N/A,Law,,1
28,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B1 - Immigration,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1887985,1,N/A,N/A,Law,,1
29,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B2 - Immigration,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1907088,1,N/A,N/A,Law,,1
30,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B3 - Immigration,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1879815,1,N/A,N/A,Law,Includes 1 seconded in G7 not paid by GLD,1
31,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B8 - Immigration,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1846569,1,N/A,N/A,Law,,1
32,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team A4 - General Private Law and The Attorney-General group and The Special Advocates Support Office,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1657000,1,N/A,N/A,Law,,1
33,Vacant,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B5 - General Public Law & Planning,N/A,thetreasurysolicitor@governmentlegal.gov.uk,27,1474882,1,N/A,N/A,Law,,1
34,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B6 - General Public Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,895975,1,N/A,N/A,Law,,1
35,Daniel Denman,SCS2,Director - Legal,To manage the provision of legal services for DExEU,Attorney General's Office,Government Legal Department,Department for Exiting the European Union Legal Advisers,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,N/D,1,90000,94999,Law,Team is too small to detail.  Salary Cost of Reports reported under Post ID 2,1
36,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DExEU,Attorney General's Office,Government Legal Department,Department for Exiting the European Union Legal Advisers - Legislation,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,35,691854,0.89,N/A,N/A,Law,Includes 1 seconded in G6 not paid by GLD,1
37,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DExEU,Attorney General's Office,Government Legal Department,Department for Exiting the European Union Legal Advisers - EU Business,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,35,275366,1,N/A,N/A,Law,,1
38,Stephen Amos,SCS2,Director - Legal,To manage the provision of legal services for CO,Attorney General's Office,Government Legal Department,Cabinet Office Legal,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,N/D,1,90000,94999,Law,Team is too small to detail.  Salary Cost of Reports reported under Post ID 2,1
39,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for CO,Attorney General's Office,Government Legal Department,Cabinet Office Legal - General Policy & National Security Legal Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,38,N/D,0.9,N/A,N/A,Law,,1
40,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for CO,Attorney General's Office,Government Legal Department,Cabinet Office Legal - Constitutional Law Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,38,421414,1,N/A,N/A,Law,Includes 1 seconded in G7 not paid by GLD,1
41,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for CO,Attorney General's Office,Government Legal Department,Cabinet Office Legal - Corporate & Government Service Legal Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,38,926807,0.8,N/A,N/A,Law,,1
42,Elizabeth Hambley,SCS2,Director - Legal,"To manage the  provision of Legal Services for DCMS, HSE & DFID",Attorney General's Office,Government Legal Department,"Department for Culture, Media and Sport,  Health and Safety Executive and Department for International Development",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,338979,1,90000,94999,Law,,1
